,date,article,url,comment,share,hashtags
10,2021-07-20 19:13:00,"ไม่ควรมีใครถูกจับด้วยม.112แม้แต่คนเดียว การเผารูปกษัตริย์ไม่ได้ทำให้กษัตริย์สำลักควันไฟแต่อย่างใด มีแต่มวลชนที่สำลักควันปืนกระสุนยางและแก็สน้ำตา!


วานนี้ (19/07/64) เวลา 21.50 น. ศูนย์ทนายความเพื่อสิทธิมนุษยชนรายงานว่า ไรเดอร์ Food Panda ""นายสิทธิโชค"" อายุ 25 ปี ได้ถูกเจ้าหน้าที่นอกเครื่องแบบกว่า 10 นายจับกุมที่บ้านพักด้วยข้อหาม.112 จากการวางเพลิงรูปกษัตริย์ในม็อบ 18 กรกฎาคม 2564 ซึ่งเป็นการจับกุมยามวิกาลและเกิดขึ้นในระหว่างเคอร์ฟิล ท่ามกลางแฮชแท็ก 
 และ 
 ที่ร้อนระอุในทวิตเตอร์


ทั้งนี้เจ้าหน้าที่ได้นำตัวนายสิทธิโชคไปสน.ประตูน้ำจุฬาลงกรณ์ ก่อนส่งตัวไปยังสน.นางเลิ้ง แต่เมื่อเวลา 05.00 น. ได้มีรายงานอีกว่านายสิทธิโชคถูกควบคุมตัวไปที่สน.ห้วยขวางแทน


ล่าสุดวันนี้ เวลา 17.00 น. หลังจากการสอบสวนและเจ้าหน้าที่ได้ยื่นคำขอฝากขัง ศาลได้อนุญาตให้ปล่อยตัวชั่วคราวด้วยการวางหลักทรัพย์ จำนวน 100,000 บาท จากกองทุนราษฎรประสงค์
__",https://www.facebook.com/FreeYOUTHth/posts/553119362803792,675,889,"['#แบนfoodpanda', '#saveสิทธิโชค', '#ม็อบ18กรกฎา', '#กองทุนราษฎรประสงค์', '#เยาวชนปลดแอก']"
11,2021-07-19 21:55:00,"อย่ากลัวที่จะเลือกข้างประชาชน Do not be afraid, stand firm with the people.
__",https://www.facebook.com/FreeYOUTHth/posts/552583619524033,737,1 หมื่น,"['#เยาวชนปลดแอก', '#freeYOUTH']"
12,2021-07-19 20:51:00,"สวมเสื้อ ""พวกเราคือคน 99%"" ร่วมต่อสู้ แสดงจุดยืนไปพร้อมกับเราเยาวชนปลดแอก


ประกาศให้รู้ว่าพวกเราจะไม่ทนยอมให้พวก 1% ชนชั้นปรสิตกดขี่พวกเราอีกต่อไป 


Fight Now! Order Now! 🔥


สามารถสั่งซื้อสินค้าระดมทุนได้ด้วยตนเองผ่าน 
LINE @freeyouth (มี @ข้างหน้า) หรือ คลิก https://liff.line.me/1572442362-jGxDDGRp/@freeyouth/
__",https://www.facebook.com/FreeYOUTHth/posts/552550216194040,135,99,['#เยาวชนปลดแอก']
13,2021-07-19 16:40:00,"[English is available.]
แถลงการณ์เยาวชนปลดแอก กรณีสลายการชุมนุม 18 กรกฎาคม 2564 และข้อเรียกร้องของประชาชน


Free YOUTH Statement on state crackdown on the 18th July 2021 demonstration and people's demands.",https://www.facebook.com/FreeYOUTHth/posts/552427066206355,150,472,"['#ม็อบ18กรกฎา', '#เยาวชนปลดแอก', '#whatishappeninginthailand', '#FreeYOUTH']"
14,2021-07-18 18:38:00,บรรยากาศช่วงท้ายก่อนยุติ มวลชนร่วมกันเผากิโยตินและหุ่นปรสิต พร้อมชูสามนิ้วโบกธง และร้องเพลง Do you hear the people sing?,https://www.facebook.com/FreeYOUTHth/posts/551788376270224,706,4.8 พัน,['#ม็อบ18กรกฎา']
15,2021-07-18 18:28:00,18:30 น. ประกาศยุติชุมนุม!,https://www.facebook.com/FreeYOUTHth/posts/551772389605156,2.2 พัน,3.5 พัน,['#ม็อบ18กรกฎา']
16,2021-07-18 18:19:00,มวลชนเผาหุ่นปรสิตและกิโยติน!,https://www.facebook.com/FreeYOUTHth/posts/551762699606125,431,3.1 พัน,['#ม็อบ18กรกฎา']
17,2021-07-18 18:10:00,เวลา 18:10 น. ยืนยันสู้ต่อ! เจอกันที่แยกนางเลิ้ง,https://www.facebook.com/FreeYOUTHth/posts/551751072940621,2.9 พัน,4 พัน,['#ม็อบ18กรกฎา']
18,2021-07-18 17:05:00,"หากบาดเจ็บหรือต้องการน้ำเกลือล้างหน้า ตามหา ""เสื้อกั๊กเขียว"" พิกัดจุดเซฟโซน ปั๊มน้ำมัน essohttps://www.google.com/.../data=!3m1!4b1!4m5!3m4!1s0x0...",https://www.facebook.com/FreeYOUTHth/posts/551645949617800,234,2.6 พัน,[]
19,2021-07-18 16:57:00,มีเสียงดังปังหลายระลอก พลุควันปกคลุมทั่วชมัย มวลชนต้องหมอบลงหลบแก็ส,https://www.facebook.com/FreeYOUTHth/posts/551620932953635,245,1.3 พัน,['#ม็อบ18กรกฎา']
20,2021-07-18 16:48:00,คลิปบริเวณสะพานชมัยมรุเชฐ เจ้าหน้าที่ฉีดน้ำแรงดันสูงผสมแก็สน้ำตาหลายระลอก,https://www.facebook.com/FreeYOUTHth/posts/551592462956482,1.4 พัน,9.4 พัน,['#ม็อบ18กรกฎา']
21,2021-07-18 16:35:00,"เจ้าหน้าที่ยิงกระสุนยางใส่ตามวลชน
รัฐบาลฆาตกร!
รัฐบาลฆาตกร!
รัฐบาลฆาตกร!
รัฐบาลฆาตกร!
รัฐบาลฆาตกร!
รัฐบาลฆาตกร!",https://www.facebook.com/FreeYOUTHth/posts/551555299626865,1.7 พัน,2.4 หมื่น,['#ม็อบ18กรกฎา']
22,2021-07-18 16:21:00,ด่วน!,https://www.facebook.com/FreeYOUTHth/posts/551512479631147,707,2.1 พัน,['#ม็อบ18กรกฎา']
23,2021-07-18 15:59:00,มีการยิงกระสุนยางในแนวหน้า สื่อมวลชนบาดเจ็บจากกระสุนยาง 1 ราย เจ้าหน้าที่ใช้พลุควัน ขณะมวลชนร่วมใจส่งน้ำเปล่าให้แนวหน้า,https://www.facebook.com/FreeYOUTHth/posts/551418826307179,2.7 พัน,5.8 หมื่น,['#ม็อบ18กรกฎา']
24,2021-07-18 15:51:00,"มีการฉีดน้ำ! 
 ทีมแพทย์และพยาบาลอาสา DNA อยู่ที่นี่ https://www.google.com/.../data=!4m2!3m1...",https://www.facebook.com/FreeYOUTHth/posts/551394229642972,71,616,['#ม็อบ18กรกฎา']
25,2021-07-18 15:42:00,ด่วน! เจ้าหน้าที่ฉีดน้ำผสมแก็สน้ำตา! และเตรียมฉีดน้ำผสมสี!,https://www.facebook.com/FreeYOUTHth/posts/551361746312887,7.4 พัน,5.8 หมื่น,['#ม็อบ18กรกฎา']
26,2021-07-18 15:18:00,เคลื่อนพลไปทำเนียบปรสิต! 15:10 น.,https://www.facebook.com/FreeYOUTHth/posts/551315472984181,750,2 พัน,['#ม็อบ18กรกฎา']
27,2021-07-18 15:14:00,เวลา 15:10 เคลื่อนขบวนแล้ว,https://www.facebook.com/FreeYOUTHth/posts/551306759651719,225,728,['#ม็อบ18กรกฎา']
28,2021-07-18 15:01:00,"LIVE มวลชนเคลื่อนพลจากอนุสาวรีย์ประชาธิปไตยไปทำเนียบ 
 ทวงคืนประเทศไทย ขับไล่ปรสิต",https://www.facebook.com/FreeYOUTHth/videos/2954314424838297/,5.6 หมื่น,4 หมื่น,"['#ม็อบ18กรกฎา', '#เยาวชนปลดแอก']"
29,2021-07-18 14:42:00,ปังๆ ลั่นกลองเคลื่อนพล ฝั่งขบวนเดินเท้า มวลชนมาร่วมขบวนเพิ่มเรื่อยๆ!,https://www.facebook.com/FreeYOUTHth/posts/551266196322442,655,1 หมื่น,['#18กรกฎา']
30,2021-07-18 14:36:00,แง้นๆ ไปกับพวกเรา ช่วงขบวนรถ ยังมีรถมาเติมเป็นจำนวนมาก!,https://www.facebook.com/FreeYOUTHth/posts/551260169656378,2.3 พัน,1.2 หมื่น,['#ม็อบ18กรกฎา']
31,2021-07-18 14:02:00,"เริ่มแล้ว! 
 นัดรวมพลจากอนุสาวรีย์ประชาธิปไตย เคลื่อนไปทำเนียบปรสิต!


ทวงคืนประเทศไทย ขับไล่ปรสิต!",https://www.facebook.com/FreeYOUTHth/posts/551229312992797,1.4 พัน,6 พัน,['#ม็อบ18กรกฎา']
32,2021-07-18 13:47:00,บรรยากาศการชุมนุม เวลา 13:45,https://www.facebook.com/FreeYOUTHth/posts/551210432994685,171,4.1 พัน,"['#ม็อบ18กรกฎา', '#รัฐบาลฆาตกร']"
33,2021-07-18 13:20:00,Clubhouse ม็อบ 18 กรกฎา: สื่อสารและรายงานสถานการณ์ โดยพลเมืองตื่นรู้ https://www.clubhouse.com/event/PAXzd157,https://www.facebook.com/FreeYOUTHth/posts/551177659664629,94,356,['#ม็อบ18กรกฎา']
34,2021-07-18 12:55:00,ทวงคืนประเทศไทย ขับไล่ปรสิต,https://www.facebook.com/FreeYOUTHth/videos/2959127047698601/,1.3 หมื่น,1.9 หมื่น,['#ม็อบ18กรกฎา']
35,2021-07-18 12:49:00,"บรรยากาศ 
 มีหุ่นนายทุน หุ่นประยุทธ์ หุ่นศพ ไพ่คิงกับน้องหมาตู่ ซุ้มพ่นแอลกอฮอล์ และเซ็ตป้องกันโควิด (ถุงมือ หน้ากาก เฟซชิล ชุดกันฝน) แจกจ่ายโดยทีมงาน",https://www.facebook.com/FreeYOUTHth/posts/551140149668380,508,7.6 พัน,['#ม็อบ18กรกฎา']
36,2021-07-18 12:03:00,นับถอยหลัง 2 ชั่วโมง! แล้วเจอกัน,https://www.facebook.com/FreeYOUTHth/posts/551109663004762,774,987,['#ม็อบ18กรกฎา']
37,2021-07-18 11:22:00,"ร่วมลุกขึ้นสู้! วันนี้เจอกันบ่ายสอง ที่อนุสาวรีย์ประชาธิปไตย เคลื่อนพลไปทำเนียบปรสิต
___
 ทวงคืนประเทศไทย ขับไล่ปรสิต",https://www.facebook.com/FreeYOUTHth/posts/551081723007556,423,1 พัน,['#ม็อบ18กรกฎา']
38,2021-07-18 11:18:00,"รถจีโน่กับตู้คอนเทนเนอร์มาเร็วจังค่ะ เวลาเกิดเหตุไฟไหม้ คุณพี่รีบแบบนี้มั้ย?


ขอบคุณภาพจากเพจ กะเทยแม่ลูกอ่อน
___
 ทวงคืนประเทศไทย ขับไล่ปรสิต",https://www.facebook.com/FreeYOUTHth/posts/551078529674542,1.7 พัน,1.3 หมื่น,['#ม็อบ18กรกฎา']
39,2021-07-18 11:10:00,"คุณปิยรัฐได้รายงานว่ามีการบุกจับเจ้าของห้องเช่าแห่งหนึ่งก่อนม็อบ! และได้ยึดของทำม็อบไปด้วย ขณะนี้ยังไม่สามารถติดต่อผู้ถูกจับกุมได้


รีบจับตั้งแต่ยังไม่ม็อบ จะกลัวอะไรนักหนา!
____",https://www.facebook.com/FreeYOUTHth/posts/551073859675009,424,1.1 พัน,['#ม็อบ18กรกฎา']
40,2021-07-18 09:08:00,"อิ่มอร่อย ยิ้มเยาะบนศพประชาชนด้วยภาษีประชาชน พอที! ทั้งไวรัสปรสิตและไวรัสโควิด-19 


ร่วมลุกขึ้นสู้! วันนี้เจอกันบ่ายสอง ที่อนุสาวรีย์ประชาธิปไตย เคลื่อนพลไปทำเนียบปรสิต
___
 ทวงคืนประเทศไทย ขับไล่ปรสิต",https://www.facebook.com/FreeYOUTHth/posts/551014639680931,1.1 พัน,1.2 หมื่น,['#ม็อบ18กรกฎา']
41,2021-07-17 23:01:00,"เครือข่ายแรงงานร่วมลุกขึ้นสู้! 


ทหาร ประยุทธ์ จันทร์โอชา Prayut Chan-o-cha
 เอ๋ย ภาษีบนกองเลือดประชาชนมันหอมหวานเกินกว่าจะลงมาหรือไม่ ทหารประยุทธ์เอ๋ย ที่พลเอกประยุทธ์และพวกอ้างว่ารักชาติและประชาชนนั้น รักจริงหรือไม่ หรือเพียงรักในภาษีและกลิ่นกระดาษราคาแพงที่ขูดรีดได้จากประชาชน ?
---
หากรักประชาชนจริง โปรดยืดตัวตรง! อึ๊บ! แล้วเดินลงมาฟังเสียงประชาชนเอ๋ย ที่ม็อบในวันพรุ่งนี้ ออกมาฟังเถิด ว่าประชาชนในประเทศนี้ เขาไม่ได้ต้องการทหารมาบริหารบ้านเมืองเหมือนบางคนที่เชิญชวนและแต่งตั้งมึงเข้ามา !
---
พี่น้องประชาชนเอ๋ย นัดหมายของเราได้เกิดขึ้นอีกครั้งแล้ว โดย เยาวชนปลดแอก － Free YOUTH
 ซึ่งนี่เป็นอีกหนึ่งนิมิตหมายและโอกาสอันดีแล้วว่า ""กรรมกร"" และ เครือข่ายแรงงานเพื่อสิทธิประชาชน จะประกาศอีกครัั้งว่า พวกเราจะต่อสู้เคียงข้างนักศึกษา และขอเชิญพี่น้องประชาชน ออกมาขับไล่ 
 ร่วมกัน
---
พบกัน 14 นาฬิกา ตรง! พกของมาให้พร้อม ไม่ว่าจะร่ม เสื้อกันผล น้ำเปล่า เจลล้างมือ มือถือที่มีแบตเตอรี่เพียงพอ หน้ากากอนามัย และหยิบแรงแค้นมาให้มั่น ! แล้วพบกันใน",https://www.facebook.com/FreeYOUTHth/posts/550759606373101,247,629,"['#ม็อบ18กรกฎา', '#รัฐบาลฆาตรกร', '#ม็อบ18กรกฎา', '#เครือข่ายแรงงานเพื่อสิทธิประชาชน']"
42,2021-07-17 22:09:00,ยิ่งจับเรา เราจะยิ่งออกมาจนเต็มถนน เพราะประเทศนี้เป็นของเรา ไม่ใช่ของพวกปรสิต! พบกันพรุ่งนี้ 14:00 ที่อนุสาวรีย์ประชาธิปไตย เพื่อเคลื่อนพลไปทำเนียบปรสิต!,https://www.facebook.com/FreeYOUTHth/posts/550727189709676,1 พัน,3.3 พัน,['#ม็อบ18กรกฎา']
43,2021-07-17 21:15:00,"#ม็อบ18กรกฎา มีมาตรการความปลอดภัยโดยมวลชนอาสา (We Volunteer) และสตาฟผู้จัด
.
มาตรการความปลอดภัย
- อาวุธโดยสภาพ เช่น ปืน มีด ระเบิด ระเบิดไฟ อาวุธชีวภาพ และที่ไม่ใช่อาวุธโดยสภาพ แต่มีการดัดแปลงให้ใช้จนมีความรุนแรง ""ถึงแก่ชีวิต"" ถ้าหากพกเข้ามาในที่ชุมนุม ทางทีมความปลอดภัยจะขอความร่วมมือกันออกจากพื้นที่ที่อาจเกิดอันตราย
- ทางทีมความปลอดภัยได้มีการเตรียมชุดสังเกตการณ์พร้อมกล้องโกรโปร มากกว่าสิบตัว เพื่อบันทึกเหตุการณ์ในพื้นที่สุ่มเสี่ยง หรือจุดที่คาดว่าจะมีบุคคลมาสร้างสถานการณ์
- กรณีประกาศยุติการชุมนุม ทีมความปลอดภัยและสตาฟผู้จัด จะทำหน้าที่ในการส่งทุกคนกลับบ้านโดยสวัสดิภาพ
.
ขอให้ผู้ใช้รถที่มุ่งหน้าจากสะพานพระปิ่นเกล้าเข้าราชดำเนิน โปรดระมัดระวังการใช้รถใช้ถนน เนื่องจากการจราจรอาจจะหนาแน่น และอาจจะเกิดอุบัติเหตุได้ เราจะมีทีมจราจรอำนวยความสะดวกให้ตลอดเส้นทางเดินขบวน
.
ในส่วนของทีมดูแลกิจกรรมหน้างาน ซึ่งเป็นทีมภาคีที่ร่วมกันจัดทั้งหมด หากต้องการความช่วยเหลือหรือสอบถาม โปรดสังเกตสัญลักษณ์ที่แขนตามรูป
.
แล้วพบกัน 
 เวลา 14.00 น. ที่อนุสาวรีย์ประชาธิปไตย!


ขอบคุณรูปจาก Sina Wittayawiroj®",https://www.facebook.com/FreeYOUTHth/posts/550697009712694,176,518,['#ม็อบ18กรกฎา']
44,2021-07-17 20:37:00,"ย้ำอีกรอบ มาตรการป้องกันโควิด
• หน้ากากอนามัย โดยเฉพาะประเภท KN 95
• ชุดกันฝน เพื่อป้องกันเชื้อและป้องกันฝน
• แอลกอฮอล์สำหรับล้างมือ
• ถุงมือยาง เพื่อป้องกันการติดเชื้อจากการสัมผัส
• อื่นๆ หมวกคลุม เฟซชิลด์


ขอความร่วมมือทุกคน ช่วยกันปฏิบัติตามมาตรการป้องกันโควิด 19 อย่างเคร่งครัด รักษาระยะห่างจากผู้อื่นอย่างน้อย 1-2 เมตรขณะทำกิจกรรม โปรดสวมหน้ากากอนามัยตลอดเวลา และขอความร่วมมือไม่ถอดหน้ากากอนามัยโดยเด็ดขาด


แล้วพบกัน 18 กรกฎาคมนี้! 14:00 น. พร้อมกันที่อนุสาวรีย์ประชาธิปไตยมุ่งไปทำเนียบปรสิต!
___
ขอบคุณรูปจาก Sina Wittayawiroj®",https://www.facebook.com/FreeYOUTHth/posts/550676183048110,107,365,['#ม็อบ18กรกฎา']
45,2021-07-17 20:10:00,"ช่องทางการติดตามข่าวสาร 
 รับรู้ทั่วถึงทุกช่องทาง ดังนี้


FB: https://m.facebook.com/FreeYOUTHth/


Twitter: https://mobile.twitter.com/FreeYOUTHth


IG: https://instagram.com/freeyouth.ig


Telegram: https://t.me/joinchat/AAAAAFiQZmU7KoN8E8S59g


Clubhouse เปิดห้อง 13:00: https://www.clubhouse.com/event/PAXzd157",https://www.facebook.com/FreeYOUTHth/posts/550660833049645,54,256,['#ม็อบ18กรกฎา']
